iter	Passed	Remaining
0	306	60973
1	629	62332
2	913	60017
3	1225	60071
4	1343	52414
5	1486	48077
6	1624	44800
7	1731	41558
8	1874	39780
9	1945	36956
10	2007	34487
11	2052	32161
12	2134	30710
13	2156	28657
14	2185	26952
15	2219	25519
16	2249	24217
17	2306	23317
18	2414	22998
19	2472	22248
20	2631	22433
21	2734	22124
22	2775	21355
23	2836	20797
24	3012	21090
25	3105	20783
26	3206	20542
27	3287	20191
28	3356	19791
29	3395	19238
30	3462	18875
31	3556	18671
32	3648	18465
33	3696	18046
34	3772	17783
35	3823	17418
36	3864	17026
37	338	4236	1738	439	4355	1739	440	4467	17323
41	4516	16989
42	4542	1642	443	4580	16239
44	4616	1544	445	4686	15691
46	4774	15543
47	4807	15222
48	4855	14962
49	4932	14796
50	4967	14512
51	5006	14249
52	5078	14085
53	5125	1353	454	5166	1354	4925	12984
55	4974	12791
56	557	57	521357	558	5347	1258	559	59	531359	560	60	537760	561	61	545161	5313	11827
62	563	5653	1263	564	568964	64	565	572865	65	566	578366	5611	11139
67	5645	10959
68	5706	10834
69	5761	10700
70	5797	10532
71	5832	10368
72	5883	10235
73	5910	10063
74	5953	9922
75	5980	9756
76	6012	9604
7777	6032	9437878	6073	9307979	6100	9158080	6132	90081	6251	8996
82	6311	8896
83	6349	8768
84	6393	8649
85	6441	8538
86	6487	8426
87	6543	8327
88	6587	8215
89	6626	8099
90	6674	7994
91	6711	7878
92	6752	7769
93	6800	7669
94	6843	7563
95	6882	7456
96	6920	7348
97	6950	7234
98	6989	7130
99	7029	7029
100	7063	6923
101	7091	6813
102	7112	66103103	7153	6603
104	7195	6510
105	7229	64106106	7261	63107107	7293	62108	7498	6260
109109	7364	60110	7572	6071
111	7624	5990
112	7656	5894
113	7700	5809
114	7739	5720
115	7783	5636
116	7820	5547
117	7855	5459
118	7890	5371
119	7929	5286
120	7986	5214
121	8026	5131
122	8075	5055
123	8116	4974
124	8154	4892
125	8182	4805
126	8210	4719
127	8240	4635
12812128	8096	129129	8162	43130130	8199	43131131	8230	42132132	8263	41133133	8308	40134134	8335	40135135	8372	3913613136	8403	13713137	8428	138138	8478	37139	8716	3735
140	8774	3671
141	8832	3607
142	8861	3532
143	8924	3470
144	8983	3407
145	9027	3338
146	9054	3264
147	9104	3198
148	9138	3128
149	9178	3059
150	9226	2994
151	9356	2954
152	9397	2886
153	9448	2822
154	9498	2757
155	9539	2690
156	9562	2619
157	9586	2548
158	9622	2481
159	9651	2412
160	9675	2343
161	9161	9516	162	9751	2213
163	9797	2150
164	9859	2091
165	9897	2027
166	9936	1963
167	9975	1900
168	10013	1836
169	10037	1771
170	10082	1709
171	10115	1646
172	10143	1583
173	10186	1522
174	10233	1461
175	10272	1400
176	10314	1340
177	10345	1278
178	10384	1218
179	10429	1158
180	10484	1100
181	10521	1040
182	10559	980
183	10599	184	184	10633	185	10667	802
186	186	10720	187	187	10755	188	188	10788	189	189	10835	190	10882	512
191	10924	455
192	192	10954	193	11049	341
194	11109	284
195	11154	227
196	11174	170
197	11195	113
198	11214	56
199	11222	0
1	0
