iter	Logloss
0	0.4783295318
1	0.3327411659
2	0.2342914359
3	0.1795435985
4	0.1407887051
5	0.1113424016
6	0.09145108627
7	0.07972097296
8	0.07067985688
9	0.06574029609
10	0.06150845544
11	0.05726017096
12	0.0546936203
13	0.05261602178
14	0.05160973067
15	0.04978953449
16	0.04854336231
17	0.0472692892
18	0.04603581396
19	0.04547650012
20	0.04472942775
21	0.04426352822
22	0.04394140613
23	0.04365770335
24	0.04349937374
25	0.04330122616
26	0.0430082539
27	0.0428010412
28	0.04244101943
29	0.04236612382
30	0.04223404007
31	0.04214483344
32	0.04211067301
33	0.04199138242
34	0.04197069414
35	0.04187388256
36	0.04180875314
37	0.04177730158
38	0.04172623018339	0.0416891324
40	0.0415833533
41	0.04152421545
442	0.0414476348
43	0.04147383423
44	0.04137777605
45	0.04138539206
46	0.04136594888
47	0.0413293351
48	0.04130960298
49	0.0412712318
50	0.04125652298
51	0.04122500311
52	0.04109390926
5353	0.04104370765454	0.04098353377
55	0.04097251881
56	0.04095003257	57	0.04090668758	58	0.04087750859	59	0.04086421160	60	0.04083412861	61	0.04082522436
62	0.04080729863	63	0.04078935564664	0.04078235065665	0.0407753526666	0.04136649543
67	0.04130558745
68	0.04128839798
69	0.04127978832
70	0.04126621887
71	0.04126066823
72	0.04124579221
73	0.04123868382
74	0.04120475329
75	0.04119173565
76	0.04118144734
77	0.04058710219
78	0.04058100893
79	0.04055893308
80	0.04054301205
81	0.04113110424
82	0.04112633455
83	0.0411147673
84	0.04110418407
85	0.04109574039
86	0.04109331883
87	0.04108990612
88	0.0410845529
89	0.0410764133
90	0.04107366082
91	0.04106693067
92	0.04106006181
93	0.04105309925
94	0.04104365275
95	0.04103556156
96	0.04102669732
97	0.04102459156
98	0.04100430827
99	0.04099747596
100	0.04099136482
101	0.04098558643
102	0.040979606103103	0.04097365843
104	0.040953926251105	0.040938113101106	0.040933352107107	0.040921459108	0.04047535197
109109	0.040881870110	0.04046309391
111	0.04045696465
112	0.04045096488
113	0.04044373825
114	0.04042754291
115	0.04042187736
116	0.04041561723
117	0.04040547823
118	0.0403972667
119	0.04036655241
120	0.04036072478
121	0.04035291024
122	0.04034578145
123	0.04034334583
124	0.04033373375
125	0.04032770431
126	0.04032464484
127	0.04031988145
128	0.04020588123
129129	0.040778234130130	0.040772197131131	0.040769296132132	0.040765700133133	0.040761806134134	0.040754405135135	0.040749301136	0.040151685171137	0.0401456354
138138	0.040735789139	0.04025533633
140	0.04024995329
141	0.04024781899
142	0.04024527064
143	0.04023891248
144	0.0402374875
145	0.04022919116
146	0.04022667637
147	0.04022275045
148	0.04021662757
149	0.04020992371
150	0.04020688397
151	0.04020209153
152	0.04019404448
153	0.04018931038
154	0.04018502726
155	0.04017979751
156	0.04017631303
157	0.04017118417
158	0.04016304281
159	0.040159044441160	0.04015620918161	0.04004715999
1162	0.040144130991163	0.04013843233
164	0.04013161124
165	0.04012736396
166	0.0401225062
167	0.04011744733
168	0.04011299256
169	0.040107137
170	0.04010117329
171	0.04009478368
172	0.04009030185
173	0.0400824438
174	0.04007796821
175	0.04007415546
176	0.0400690356
177	0.04006246708
178	0.0400579158
179	0.04005437053
180	0.04004866705
181	0.04004607918
182	0.04004063068
183	0.040031869184184	0.040027534185	0.040012387
186	0186	0.0400186187	0187	0.0400140188	0188	0.0400118189	189	0.04000728190	0.03999491598
191	0.03998905105
192192	0.039990795193	0.0399784198
194	0.03997421847
195	0.03997010038
196	0.03996496661
197	0.03996056367
198	0.0399565753
199	0.03995423809
609
611
